surface,viewport,before_mae,after_mae,before_rmse,after_rmse,before_changed_percent,after_changed_percent,after_changed_bbox
workspace-shell,1440x900,1.984,1.6,12.477,11.875,3.396,2.277,"(0, 13, 1416, 890)"
workspace-shell,1366x768,2.561,2.084,14.588,13.527,4.56,3.403,"(0, 13, 1342, 760)"
workspace-shell,1024x768,5.901,2.698,26.397,15.57,9.069,4.513,"(0, 13, 1000, 760)"
workspace-shell,390x844,14.213,1.465,50.796,10.026,9.748,2.759,"(0, 0, 384, 844)"
workspace-shell,360x800,14.79,1.604,51.485,10.573,10.351,3.057,"(0, 0, 352, 800)"
overview,1440x900,10.536,3.844,28.565,19.76,38.202,5.07,"(0, 13, 1416, 890)"
overview,1366x768,11.939,4.834,31.568,22.154,40.702,6.804,"(0, 13, 1342, 760)"
overview,1024x768,14.113,8.91,39.747,31.666,31.102,15.282,"(0, 13, 1000, 760)"
overview,390x844,32.773,9.959,71.698,30.369,33.386,18.496,"(0, 0, 384, 844)"
overview,360x800,34.444,12.268,73.795,34.177,35.389,23.235,"(0, 0, 352, 800)"
project-create,1440x900,8.576,5.19,29.321,21.526,14.827,8.39,"(0, 13, 1416, 890)"
project-create,1366x768,8.315,6.043,27.707,22.932,13.78,10.623,"(0, 13, 1342, 768)"
project-create,1024x768,11.456,7.674,31.261,26.376,22.613,12.889,"(0, 13, 1000, 768)"
project-create,390x844,25.759,10.065,60.892,29.54,28.535,19.12,"(0, 0, 383, 844)"
project-create,360x800,26.869,10.854,62.043,30.912,29.947,20.308,"(0, 0, 352, 800)"
